,name,github_id,resource,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,labels,license,latest_stable_release_published_at,latest_stable_release_number,release_count,github_release_downloads,monthly_downloads,conda_id,pypi_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,brew_id,maven_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,conda_dependent_project_count,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,licenses,apt_id
433,schemathesis,schemathesis/schemathesis,,testing,https://github.com/schemathesis/schemathesis,https://github.com/schemathesis/schemathesis,2019-08-19 11:13:01.000000,2021-02-12 08:40:54.000000,2021-02-12 08:40:35.000000,56.0,65.0,412.0,746.0,1057.0,A modern API testing tool for web applications built with Open API and GraphQL specifications.,26.0,21,True,"['openapi', 'graphql']",MIT,2021-02-11 12:07:04.000000,3.1.0,125.0,,11914.0,,schemathesis,0.0,,https://pypi.org/project/schemathesis,2021-02-11 12:07:04.000000,0.0,11914.0,,,,3.0,,,,,,,,,,,,,,,,,,
434,selectolax,rushter/selectolax,,html-processing,https://github.com/rushter/selectolax,https://github.com/rushter/selectolax,2017-11-26 19:37:37.000000,2021-01-09 12:54:29.000000,2021-01-09 12:54:28.000000,24.0,6.0,24.0,367.0,149.0,Python binding to Modest engine (fast HTML5 parser with CSS selectors).,2.0,21,True,,MIT,2020-12-19 17:14:45.000000,0.2.10,25.0,,7150.0,,selectolax,150.0,144.0,https://pypi.org/project/selectolax,2020-12-19 17:14:45.000000,6.0,7150.0,,,,3.0,,,,,,,,,,,,,,,,,,
435,Model Bakery,model-bakers/model_bakery,,testing,https://github.com/model-bakers/model_bakery,https://github.com/model-bakers/model_bakery,2019-10-08 12:49:08.000000,2021-02-18 16:23:47.000000,2021-02-17 21:43:19.000000,35.0,22.0,53.0,319.0,,Object factory for Django.,23.0,21,True,['django'],Apache-2.0,2020-11-12 17:32:22.000000,1.2.1,8.0,,67972.0,,model_bakery,8.0,,https://pypi.org/project/model_bakery,2020-11-12 17:32:22.000000,8.0,67972.0,,,,3.0,,,,,,,,,,,,,,,,,,
436,django-easy-audit,soynatan/django-easy-audit,,django-utils,https://github.com/soynatan/django-easy-audit,https://github.com/soynatan/django-easy-audit,2016-10-23 06:55:16.000000,2021-02-06 20:27:00.000000,2020-11-09 03:53:43.000000,95.0,33.0,55.0,281.0,224.0,"Yet another Django audit log app, hopefully the simplest one.",26.0,21,True,['django'],GPL-3.0,2020-11-07 19:38:27.000000,1.3.1a1,37.0,,7794.0,,django-easy-audit,109.0,93.0,https://pypi.org/project/django-easy-audit,2020-11-07 19:35:28.000000,16.0,7794.0,,,,3.0,,,,,,,,,,,,,,,,,,
437,flask-praetorian,dusktreader/flask-praetorian,,auth,https://github.com/dusktreader/flask-praetorian,https://github.com/dusktreader/flask-praetorian,2016-11-23 16:47:18.000000,2020-12-07 17:48:51.000000,2020-12-07 17:42:12.000000,35.0,5.0,116.0,266.0,317.0,"Strong, Simple, and Precise security for Flask APIs (using jwt).",19.0,21,True,['flask'],MIT,2020-12-07 17:48:51.000000,1.1.0,44.0,,5410.0,,flask-praetorian,14.0,,https://pypi.org/project/flask-praetorian,2020-12-07 17:48:51.000000,14.0,5410.0,,,,3.0,,,,,,,,,,,,,,,,,,
438,Flask-Excel,pyexcel-webwares/Flask-Excel,,flask-utils,https://github.com/pyexcel-webwares/Flask-Excel,https://github.com/pyexcel-webwares/Flask-Excel,2015-01-21 19:55:07.000000,2020-11-10 23:13:19.000000,2020-11-10 23:13:13.000000,70.0,10.0,39.0,226.0,233.0,"A flask extension using pyexcel to read, manipulate and write data in different excel formats: csv, ods, xls, xlsx and..",8.0,21,True,,BSD-3-Clause,2017-07-20 02:40:14.000000,0.0.7,8.0,7.0,6576.0,,flask-excel,716.0,576.0,https://pypi.org/project/flask-excel,2017-07-20 02:40:14.000000,140.0,6576.0,,,,3.0,,,,,,,,,,,,,,,,,,
439,mailer,marrow/mailer,,email,https://github.com/marrow/mailer,https://github.com/marrow/mailer,2011-03-13 05:21:26.000000,2021-01-10 22:48:12.147000,2020-04-22 19:28:26.000000,48.0,25.0,45.0,224.0,295.0,"A light-weight, modular, message representation and mail delivery framework for Python.",19.0,21,True,,MIT,2019-09-16 00:20:27.000000,4.0.3,8.0,106.0,7814.0,conda-forge/mailer,mailer,156.0,,https://pypi.org/project/mailer,2015-04-22 03:10:28.000000,156.0,6837.0,https://anaconda.org/conda-forge/mailer,2021-01-10 22:48:12.147000,28290.0,3.0,,,,,,,,,,,,,,,,,,
440,reppy,seomoz/reppy,,others,https://github.com/seomoz/reppy,https://github.com/seomoz/reppy,2011-10-29 00:06:46.000000,2020-03-12 22:32:22.000000,2020-03-12 22:31:33.000000,31.0,18.0,35.0,159.0,265.0,Modern robots.txt Parser for Python.,23.0,21,True,,MIT,2019-09-16 19:32:19.000000,0.4.14,24.0,,6626.0,,reppy,170.0,106.0,https://pypi.org/project/reppy,2019-09-16 19:32:19.000000,64.0,6626.0,,,,3.0,,,,,,,,,,,,,,,,,,
441,trafilatura,adbar/trafilatura,,web-scraping,https://github.com/adbar/trafilatura,https://github.com/adbar/trafilatura,2019-04-08 11:38:48.000000,2021-02-22 13:10:21.000000,2021-02-22 13:10:15.000000,25.0,8.0,34.0,100.0,830.0,"Web scraping library and command-line tool for text discovery and extraction (main content, metadata, comments).",11.0,21,True,,GPL-3.0,2021-02-19 18:01:53.000000,0.8.0,20.0,,15067.0,,trafilatura,45.0,45.0,https://pypi.org/project/trafilatura,2021-02-19 18:00:41.000000,0.0,15067.0,,,,3.0,,,,,,,,,,,,,,,,,,
442,pyramid_jinja2,Pylons/pyramid_jinja2,,pyramid-utils,https://github.com/Pylons/pyramid_jinja2,https://github.com/Pylons/pyramid_jinja2,2010-10-31 16:21:44.000000,2020-04-17 18:23:40.000000,2020-04-17 18:23:35.000000,58.0,6.0,54.0,72.0,535.0,Jinja2 templating system bindings for the Pyramid web framework.,46.0,21,False,['pyramid'],,2016-01-23 15:34:59.000000,2.6.2,36.0,,63191.0,,pyramid_jinja2,510.0,,https://pypi.org/project/pyramid_jinja2,2016-11-15 16:40:41.000000,510.0,63191.0,,,,1.0,,,,,,,,,,,,,,,,,BSD-based,
