,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,labels,latest_stable_release_published_at,latest_stable_release_number,release_count,github_release_downloads,monthly_downloads,conda_id,pypi_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,brew_id,maven_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,conda_dependent_project_count,new_addition,updated_github_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,licenses,apt_id
460,django-easy-audit,soynatan/django-easy-audit,,django-utils,https://github.com/soynatan/django-easy-audit,https://github.com/soynatan/django-easy-audit,GPL-3.0,2016-10-23 06:55:16.000000,2021-05-04 20:14:30.000000,2020-11-09 03:53:43.000000,100.0,38.0,57.0,321.0,224.0,"Yet another Django audit log app, hopefully the simplest one.",26.0,21,True,['django'],2020-11-07 19:38:27.000000,1.3.1a1,37.0,,21789.0,,django-easy-audit,119.0,103.0,https://pypi.org/project/django-easy-audit,2020-11-07 19:35:28.000000,16.0,21789.0,,,,3.0,,,,,,,,,,,,,,,,,,,
461,fastapi-crudrouter,awtkns/fastapi-crudrouter,,fastapi-utils,https://github.com/awtkns/fastapi-crudrouter,https://github.com/awtkns/fastapi-crudrouter,MIT,2020-12-19 20:58:44.000000,2021-06-26 09:13:01.000000,2021-06-19 06:03:53.000000,35.0,12.0,24.0,289.0,311.0,A dynamic FastAPI router that automatically creates CRUD routes for your models.,11.0,21,True,['fastapi'],2021-04-23 05:52:15.000000,0.7.1,20.0,2.0,2249.0,,fastapi-crudrouter,15.0,15.0,https://pypi.org/project/fastapi-crudrouter,2021-04-23 05:52:15.000000,,2249.0,,,,1.0,,,,,,,,,,,True,,,,,,,,
462,safrs,thomaxxl/safrs,,flask-utils,https://github.com/thomaxxl/safrs,https://github.com/thomaxxl/safrs,GPL-3.0,2017-09-20 07:56:55.000000,2021-05-21 20:48:47.000000,2021-05-19 08:49:12.000000,54.0,,71.0,284.0,1149.0,SqlAlchemy Flask-Restful Swagger Json:API OpenAPI.,15.0,21,True,"['flask', 'openapi']",2021-05-21 20:48:47.000000,2.11.4,65.0,,1109.0,,safrs,35.0,35.0,https://pypi.org/project/safrs,2021-05-21 11:12:45.000000,0.0,1109.0,,,,3.0,,,,,,,,,,,,,,,,,,,
463,flask-praetorian,dusktreader/flask-praetorian,,auth,https://github.com/dusktreader/flask-praetorian,https://github.com/dusktreader/flask-praetorian,MIT,2016-11-23 16:47:18.000000,2021-06-27 13:30:59.000000,2021-04-21 05:01:10.000000,38.0,4.0,122.0,284.0,325.0,"Strong, Simple, and Precise security for Flask APIs (using jwt).",19.0,21,True,['flask'],2021-04-21 05:00:12.000000,1.2.0,45.0,,4351.0,,flask-praetorian,14.0,,https://pypi.org/project/flask-praetorian,2021-04-21 05:00:12.000000,14.0,4351.0,,,,3.0,,,,,,,,,,,,,,,,,,,
464,django-graphql-auth,PedroBern/django-graphql-auth,,graphql,https://github.com/PedroBern/django-graphql-auth,https://github.com/PedroBern/django-graphql-auth,MIT,2020-01-15 16:36:01.000000,2021-06-30 21:46:50.000000,2021-04-10 22:06:50.000000,47.0,39.0,38.0,230.0,266.0,Django registration and authentication with GraphQL.,14.0,21,True,['django'],2020-11-16 13:18:58.000000,0.3.15,37.0,,7037.0,,django-graphql-auth,184.0,184.0,https://pypi.org/project/django-graphql-auth,2020-11-16 13:18:58.000000,,7037.0,,,,3.0,,,,,,,,,,,,,,,,,,,
465,markdown-it-py,executablebooks/markdown-it-py,,markdown,https://github.com/executablebooks/markdown-it-py,https://github.com/executablebooks/markdown-it-py,MIT,2020-03-25 11:10:01.000000,2021-05-10 15:07:33.070000,2021-05-08 05:21:32.000000,24.0,16.0,33.0,191.0,225.0,"Markdown parser, done right. 100% CommonMark support, extensions, syntax plugins & high speed. Now in Python!.",13.0,21,True,,2021-05-08 05:25:20.000000,1.1.0,37.0,,377816.0,conda-forge/markdown-it-py,markdown-it-py,0.0,,https://pypi.org/project/markdown-it-py,2021-05-08 05:25:20.000000,0.0,370619.0,https://anaconda.org/conda-forge/markdown-it-py,2021-05-10 15:07:33.070000,115165.0,3.0,,,,,,,,,,,,,,,,,,,
466,fastapi_login,MushroomMaula/fastapi_login,,auth,https://github.com/MushroomMaula/fastapi_login,https://github.com/MushroomMaula/fastapi_login,MIT,2019-10-21 14:47:00.000000,2021-06-20 16:40:53.000000,2021-06-20 16:39:14.000000,17.0,,19.0,182.0,248.0,FastAPI-Login tries to provide similar functionality as Flask-Login does.,5.0,21,True,['fastapi'],2021-06-20 16:40:53.000000,1.6.2,17.0,3.0,5788.0,,fastapi_login,88.0,88.0,https://pypi.org/project/fastapi_login,2021-06-20 16:40:53.000000,0.0,5788.0,,,,3.0,,,,,,,,,,,,,,,,,,,
467,python-graphql-client,prisma-labs/python-graphql-client,,graphql,https://github.com/prisma-labs/python-graphql-client,https://github.com/prisma-labs/python-graphql-client,MIT,2016-05-12 12:09:18.000000,2021-03-04 21:32:03.000000,2018-07-12 02:38:48.000000,39.0,3.0,6.0,141.0,26.0,Simple GraphQL client for Python 2.7+.,6.0,21,False,,2021-03-04 21:32:03.000000,0.4.3,9.0,,50478.0,,python-graphql-client,195.0,195.0,https://pypi.org/project/python-graphql-client,2021-03-04 21:32:03.000000,0.0,50478.0,,,,3.0,,,,,,,,,,,,,,,,,,,
468,flask-ngrok,gstaff/flask-ngrok,,flask-utils,https://github.com/gstaff/flask-ngrok,https://github.com/gstaff/flask-ngrok,Apache-2.0,2018-09-04 00:22:30.000000,2021-06-27 06:53:29.000000,2019-04-28 13:53:50.000000,29.0,13.0,4.0,82.0,26.0,A simple way to demo Flask apps from your machine.,2.0,21,False,['flask'],2018-09-09 19:48:38.000000,0.0.25,16.0,,36615.0,,flask-ngrok,1016.0,1002.0,https://pypi.org/project/flask-ngrok,2018-09-09 19:48:38.000000,14.0,36615.0,,,,3.0,,,,,,,,,,,True,,,,,,,,
469,healthchecks,healthchecks/healthchecks,,others,https://github.com/healthchecks/healthchecks,https://github.com/healthchecks/healthchecks,BSD-3-Clause,2015-06-25 18:38:33.000000,2021-06-29 11:38:20.000000,2021-06-29 11:38:06.000000,459.0,70.0,321.0,3889.0,1708.0,A cron monitoring tool written in Python & Django.,63.0,20,True,,2021-04-22 10:05:24.000000,1.20.0,25.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
470,urlwatch,thp/urlwatch,,others,https://github.com/thp/urlwatch,https://github.com/thp/urlwatch,BSD-3-Clause,2014-01-29 18:42:20.000000,2021-06-29 05:19:15.000000,2021-06-29 05:19:10.000000,308.0,63.0,342.0,2176.0,794.0,urlwatch monitors webpages for you.,72.0,20,True,,,,31.0,,3098.0,,urlwatch,2.0,,https://pypi.org/project/urlwatch,2021-04-10 08:48:53.000000,2.0,3098.0,,,,3.0,,,,,,,,,,,,,,,,,,,
471,Misago,rafalp/Misago,,web-ui,https://github.com/rafalp/Misago,https://github.com/rafalp/Misago,GPL-2.0,2012-06-22 14:24:02.000000,2021-06-07 16:56:39.000000,2020-05-25 19:36:15.000000,452.0,67.0,983.0,2124.0,5160.0,"Misago is fully featured modern forum application that is fast, scalable and responsive.",32.0,20,False,,2020-05-25 20:23:24.000000,0.27.0,43.0,,,,,40.0,40.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
472,requestium,tryolabs/requestium,,testing,https://github.com/tryolabs/requestium,https://github.com/tryolabs/requestium,BSD-3-Clause,2017-06-30 19:07:16.000000,2019-10-17 02:58:04.000000,2018-02-20 19:04:56.000000,127.0,20.0,5.0,1596.0,83.0,Integration layer between Requests and Selenium for automation of web actions.,6.0,20,False,,2017-11-30 18:12:45.000000,0.1.9,12.0,,7994.0,,requestium,57.0,52.0,https://pypi.org/project/requestium,2017-11-30 18:12:45.000000,5.0,7994.0,,,,3.0,,,,,,,,,,,,,,,,,,,
473,gazpacho,maxhumber/gazpacho,,web-scraping,https://github.com/maxhumber/gazpacho,https://github.com/maxhumber/gazpacho,MIT,2019-09-23 20:21:55.000000,2021-04-24 18:18:14.000000,2021-04-24 18:18:10.000000,55.0,11.0,32.0,570.0,160.0,"The simple, fast, and modern web scraping library.",16.0,20,True,,2020-10-09 12:51:41.000000,1.1,19.0,,14486.0,,gazpacho,112.0,110.0,https://pypi.org/project/gazpacho,2020-10-09 12:50:18.000000,2.0,14486.0,,,,3.0,,,,,,,,,,,,,,,,,,,
474,golem,golemhq/golem,,testing,https://github.com/golemhq/golem,https://github.com/golemhq/golem,MIT,2016-01-11 19:43:42.000000,2021-06-30 01:04:21.000000,2021-06-30 01:04:11.000000,70.0,16.0,116.0,451.0,601.0,A complete test automation tool.,20.0,20,True,,2021-06-11 00:46:19.000000,0.10.0,35.0,43.0,4214.0,,golem-framework,5.0,4.0,https://pypi.org/project/golem-framework,2021-06-11 00:33:37.000000,1.0,4213.0,,,,3.0,,,,,,,,,,,,,,,,,,,
475,django-smuggler,semente/django-smuggler,,admin-ui,https://github.com/semente/django-smuggler,https://github.com/semente/django-smuggler,LGPL-3.0,2009-12-11 20:59:14.000000,2020-09-28 13:35:55.000000,2020-09-28 13:34:15.000000,32.0,8.0,38.0,356.0,282.0,Django Smuggler is a pluggable application for Django Web Framework that helps you to import/export fixtures via the..,20.0,20,True,['django'],2020-09-28 13:35:55.000000,1.0.2,13.0,,6910.0,,django-smuggler,195.0,122.0,https://pypi.org/project/django-smuggler,2020-09-28 13:35:55.000000,73.0,6910.0,,,,3.0,,,,,,,,,,,,,,,,,,,
476,ghapi,fastai/ghapi,,third-party-apis,https://github.com/fastai/ghapi,https://github.com/fastai/ghapi,Apache-2.0,2020-11-21 01:10:28.000000,2021-06-23 09:05:15.000000,2021-05-24 06:23:14.000000,19.0,21.0,33.0,223.0,209.0,A delightful and complete interface to GitHub's amazing API.,7.0,20,True,,2021-05-24 06:24:00.000000,0.1.17,17.0,,74858.0,,ghapi,0.0,,https://pypi.org/project/ghapi,2021-05-24 06:24:00.000000,0.0,74858.0,,,,3.0,,,,,,,,,,,,,,,,,,,
477,python-jwt,davedoesdev/python-jwt,,auth,https://github.com/davedoesdev/python-jwt,https://github.com/davedoesdev/python-jwt,MIT,2013-09-30 08:03:49.000000,2020-08-24 22:05:39.000000,2020-08-24 21:37:50.000000,23.0,,15.0,186.0,142.0,Python module for generating and verifying JSON Web Tokens.,5.0,20,True,,2020-08-24 22:05:39.000000,3.3.0,38.0,,170475.0,,python-jwt,42.0,,https://pypi.org/project/python-jwt,2020-08-24 22:05:39.000000,42.0,170475.0,,,,3.0,,,,,,,,,,,,,,,,,,,
